date,reporting_states_uts,commodities_observed,state_commodity_rows,official_source_rows
2007-08-01,27,8,151,60066
2007-09-01,26,8,143,53055
2007-10-01,25,8,140,54015
2007-11-01,28,8,145,46537
2007-12-01,25,8,142,59423
2008-01-01,25,8,142,59263
2008-02-01,26,8,145,62734
2008-03-01,26,8,145,57644
2008-04-01,26,8,145,59917
2008-05-01,26,8,141,62107
2008-06-01,26,8,140,55320
2008-07-01,27,8,141,61581
2008-08-01,26,8,142,50380
2008-09-01,25,8,138,49268
2008-10-01,25,8,138,50845
2008-11-01,25,8,140,53841
2008-12-01,25,8,146,57824
2009-01-01,25,8,142,58607
2009-02-01,25,8,143,57547
2009-03-01,25,8,144,49125
2009-04-01,25,8,145,46858
2009-05-01,25,8,140,44503
2009-06-01,26,8,141,42624
2009-07-01,26,8,140,45294
2009-08-01,26,8,143,42344
2009-09-01,27,8,148,44272
2009-10-01,26,8,143,48932
2009-11-01,27,8,150,50052
2009-12-01,27,8,147,51438
2010-01-01,26,8,149,55245
2010-02-01,25,8,148,54222
2010-03-01,25,8,144,58734
2010-04-01,27,8,146,62746
2010-05-01,27,8,142,58920
2010-06-01,26,8,141,58158
2010-07-01,24,8,143,57544
2010-08-01,26,8,144,57062
2010-09-01,24,8,142,54545
2010-10-01,27,8,150,56671
2010-11-01,25,8,144,51069
2010-12-01,25,8,142,56180
2011-01-01,26,8,144,53981
2011-02-01,26,8,144,52178
2011-03-01,25,8,146,54428
2011-04-01,25,8,143,54750
2011-05-01,25,8,148,55925
2011-06-01,25,8,147,56340
2011-07-01,25,8,143,57006
2011-08-01,25,8,142,53785
2011-09-01,24,8,140,54080
2011-10-01,25,8,144,50030
2011-11-01,24,8,137,57153
2011-12-01,23,8,144,57482
2012-01-01,23,8,136,56801
2012-02-01,23,8,138,54827
2012-03-01,24,8,144,60187
2012-04-01,24,8,140,60055
2012-05-01,25,8,140,66651
2012-06-01,26,8,143,62686
2012-07-01,26,8,142,64672
2012-08-01,26,8,143,60827
2012-09-01,26,8,143,60954
2012-10-01,24,8,135,63244
2012-11-01,24,8,139,59614
2012-12-01,25,8,143,63215
2013-01-01,25,8,138,74889
2013-02-01,26,8,140,70699
2013-03-01,26,8,143,74124
2013-04-01,25,8,138,78223
2013-05-01,26,8,145,81242
2013-06-01,25,8,139,76828
2013-07-01,26,8,148,78786
2013-08-01,28,8,149,66926
2013-09-01,26,8,146,70107
2013-10-01,26,8,148,67494
2013-11-01,26,8,146,61162
2013-12-01,25,8,138,62569
2014-01-01,26,8,144,65482
2014-02-01,25,8,138,58685
2014-03-01,26,8,144,64599
2014-04-01,27,8,145,64528
2014-05-01,26,8,144,69126
2014-06-01,26,8,143,64528
2014-07-01,28,8,148,67448
2014-08-01,28,8,147,62868
2014-09-01,29,8,148,63392
2014-10-01,28,8,148,60215
2014-11-01,27,8,147,66684
2014-12-01,26,8,143,74354
2015-01-01,29,8,156,79678
2015-02-01,28,8,157,74286
2015-03-01,27,8,149,78128
2015-04-01,29,8,154,77763
2015-05-01,30,8,159,81251
2015-06-01,31,8,162,84310
2015-07-01,31,8,162,80776
2015-08-01,31,8,162,76706
2015-09-01,31,8,162,77428
2015-10-01,31,8,164,79575
2015-11-01,31,8,169,72212
2015-12-01,30,8,170,83695
2016-01-01,30,8,170,77615
2016-02-01,30,8,170,77887
2016-03-01,30,8,170,76220
2016-04-01,30,8,172,77029
2016-05-01,30,8,170,88139
2016-06-01,30,8,165,85723
2016-07-01,30,8,169,75147
2016-08-01,30,8,169,72702
2016-09-01,30,8,166,67711
2016-10-01,30,8,163,70535
2016-11-01,30,8,163,71160
2016-12-01,30,8,167,79009
2017-01-01,30,8,164,68926
2017-02-01,29,8,162,65836
2017-03-01,30,8,165,76007
2017-04-01,29,8,162,73439
2017-05-01,31,8,168,75101
2017-06-01,30,8,165,69768
2017-07-01,29,8,165,77742
2017-08-01,31,8,169,79212
2017-09-01,30,8,170,76491
2017-10-01,31,8,169,73800
2017-11-01,31,8,174,77660
2017-12-01,30,8,160,76238
2018-01-01,31,8,168,113785
2018-02-01,31,8,168,106365
2018-03-01,31,8,164,110407
2018-04-01,29,8,158,107740
2018-05-01,29,8,161,121888
2018-06-01,30,8,163,104505
2018-07-01,30,8,163,107620
2018-08-01,30,8,162,105709
2018-09-01,30,8,158,101421
2018-10-01,27,8,150,106762
2018-11-01,27,8,149,94504
2018-12-01,28,8,152,108339
2019-01-01,28,8,157,86752
2019-02-01,28,8,149,79258
2019-03-01,29,8,160,85012
2019-04-01,28,8,155,87085
2019-05-01,28,8,157,90251
2019-06-01,29,8,157,83213
2019-07-01,28,8,152,85790
2019-08-01,27,8,154,78631
2019-09-01,27,8,151,76694
2019-10-01,26,8,143,74938
2019-11-01,27,8,149,78339
2019-12-01,26,8,135,69596
2020-01-01,22,8,118,84233
2020-02-01,23,8,121,76641
2020-03-01,21,8,110,64596
2020-04-01,21,8,108,57131
2020-05-01,22,8,116,76077
2020-06-01,23,8,115,79990
2020-07-01,23,8,114,73278
2020-08-01,22,8,110,63918
2020-09-01,24,8,114,68841
2020-10-01,22,8,105,67110
2020-11-01,23,8,108,66413
2020-12-01,24,8,109,77052
2021-01-01,24,8,113,65730
2021-02-01,25,8,119,66818
2021-03-01,24,8,116,72306
2021-04-01,24,8,119,63420
2021-05-01,23,8,112,53390
2021-06-01,24,8,113,69509
2021-07-01,24,8,116,68447
2021-08-01,23,8,109,66373
2021-09-01,25,8,111,67901
2021-10-01,24,8,109,65518
2021-11-01,25,8,112,63685
2021-12-01,24,8,112,73780
2022-01-01,29,8,146,90627
2022-02-01,28,8,143,89492
2022-03-01,29,8,148,98302
2022-04-01,29,8,146,99399
2022-05-01,26,8,138,94509
2022-06-01,26,8,132,91953
2022-07-01,25,8,133,91131
2022-08-01,25,8,129,88810
2022-09-01,25,8,133,88584
2022-10-01,26,8,135,83140
2022-11-01,25,8,131,88824
2022-12-01,25,8,135,93278
2023-01-01,28,8,142,76063
2023-02-01,27,8,139,76790
2023-03-01,26,8,137,76992
2023-04-01,27,8,145,79423
2023-05-01,27,8,146,84100
2023-06-01,27,8,136,82033
2023-07-01,27,8,136,77570
2023-08-01,26,8,136,71835
2023-09-01,27,8,138,67693
2023-10-01,26,8,142,72941
2023-11-01,27,8,141,65716
2023-12-01,28,8,147,70162
2024-01-01,25,8,130,87019
2024-02-01,27,8,138,89834
2024-03-01,27,8,137,93392
2024-04-01,26,8,133,90055
2024-05-01,26,8,134,103631
2024-06-01,27,8,136,81797
2024-07-01,27,8,140,104614
2024-08-01,27,8,139,94865
2024-09-01,28,8,137,83557
2024-10-01,28,8,137,98540
2024-11-01,28,8,139,97288
2024-12-01,28,8,140,103096
2025-01-01,27,8,137,91947
2025-02-01,27,8,135,93496
2025-03-01,27,8,137,106871
2025-04-01,27,8,138,138682
2025-05-01,27,8,139,134455
2025-06-01,27,8,135,112387
2025-07-01,27,8,133,115049
2025-08-01,27,8,136,95104
2025-09-01,26,8,136,102489
2025-10-01,26,8,132,91751
2025-11-01,26,8,135,78021
2025-12-01,27,7,132,81398
2026-01-01,27,7,130,80499
2026-02-01,27,7,125,89246
2026-03-01,28,7,129,125838
2026-04-01,28,7,127,135459
2026-05-01,28,7,129,128168
2026-06-01,29,7,135,115752
2026-07-01,27,7,130,96223
